Kennziffer;Raumeinheit;Aggregat;Beschäftigtenquote Frauen;Beschäftigtenquote Männer;Teilzeitbeschäftigte;Teilzeitbeschäftige Frauen
13076;Ludwigslust-Parchim;Kreise;68,16;70,36;27,66;48,08
14511;Chemnitz, Stadt;Kreise;64,89;67,25;32,65;51,26
14521;Erzgebirgskreis;Kreise;71;71,94;34,32;58
14522;Mittelsachsen;Kreise;69,17;70,88;31,42;53,12
14523;Vogtlandkreis;Kreise;68,34;69,4;33,46;55,15
14524;Zwickau;Kreise;69,36;72,57;28,95;53,03
14612;Dresden, Stadt;Kreise;65,24;67,97;33,72;49,51
14625;Bautzen;Kreise;69,39;70,87;32,71;55,38
14626;Görlitz;Kreise;65,94;66,29;37,05;58,23
14627;Meißen;Kreise;68,67;70,04;29,97;52,78
14628;Sächsische Schweiz-Osterzgebirge;Kreise;70,57;70,12;32,33;52,46
14713;Leipzig, Stadt;Kreise;62,76;65,91;34,47;49,04
14729;Leipzig;Kreise;68,74;68,9;32,72;54,67
14730;Nordsachsen;Kreise;69;69,54;32;51,2
15001;Dessau-Roßlau, Stadt;Kreise;68,26;71,14;30,1;46,19
15002;Halle (Saale), Stadt;Kreise;61,22;68,79;35,11;48,24
15003;Magdeburg, Landeshauptstadt;Kreise;61,69;65,34;33,65;47,6
15081;Altmarkkreis Salzwedel;Kreise;67,12;71,74;32,68;54,54
15082;Anhalt-Bitterfeld;Kreise;64,39;67,62;26,49;46,14
15083;Börde;Kreise;69,02;71,51;29,85;52,76
15084;Burgenlandkreis;Kreise;67,66;73,37;29,17;49,11
15085;Harz;Kreise;66,64;68,32;31,44;51,82
15086;Jerichower Land;Kreise;66,61;67,08;30,65;52,58
15087;Mansfeld-Südharz;Kreise;64,45;67,1;35,86;56,76
15088;Saalekreis;Kreise;69,25;72,09;25,46;48,56
15089;Salzlandkreis;Kreise;64,97;67,94;31,63;52,65
15090;Stendal;Kreise;63,81;66,99;33,46;54,13
15091;Wittenberg;Kreise;69,54;70,65;30,98;53,01
16051;Erfurt, Stadt;Kreise;61,07;65,13;30,67;45,88
16052;Gera, Stadt;Kreise;62,71;65,77;32,59;46,97
16053;Jena, Stadt;Kreise;58,93;63,65;31,83;45,58
16054;Suhl, Stadt;Kreise;68,12;62,82;29,12;43,12
16055;Weimar, Stadt;Kreise;58,73;62,64;37,88;52,07
16061;Eichsfeld;Kreise;67,66;71,5;30,13;58,78
16062;Nordhausen;Kreise;63,84;67,82;30,94;53,18
16063;Wartburgkreis;Kreise;68,5;74,04;26,64;49,7
16064;Unstrut-Hainich-Kreis;Kreise;66,2;70,29;32,42;54,37
16065;Kyffhäuserkreis;Kreise;62,38;66,58;32,05;51,97
16066;Schmalkalden-Meiningen;Kreise;69,43;70,92;28,01;48,09
16067;Gotha;Kreise;66,86;69,92;24,95;44,39
16068;Sömmerda;Kreise;64,9;68,38;24,61;46,5
16069;Hildburghausen;Kreise;72,67;72,59;29,19;51,27
16070;Ilm-Kreis;Kreise;65,1;67,49;25,29;46,01
16071;Weimarer Land;Kreise;68,22;70,08;29,81;48,73
16072;Sonneberg;Kreise;66,42;72,02;21,52;38,97
16073;Saalfeld-Rudolstadt;Kreise;68,55;70,3;31,75;52,38
16074;Saale-Holzland-Kreis;Kreise;68,54;69,39;25,83;45,41
16075;Saale-Orla-Kreis;Kreise;70,09;73,28;27,53;49,96
16076;Greiz;Kreise;68,32;68,75;28,03;50,63
16077;Altenburger Land;Kreise;64,87;69,8;31,02;52,94
